"the","8319","0","the"
"to","3731","3","to"
"of","3692","1","of"
"and","3595","2","and"
"a","2434","4","a"
"in","2401","5","in"
"that","2298","9","that"
"we","1762","30","we"
"it","1311","15","it"
"be","1303","18","be, been"
"they","1266","50","they"
"is","1217","7","is"
"he","1168","52","he"
"was","1092","29","was"
"for","1029","6","for"
"not","935","16","not"
"our","911","43","our"
"with","891","12","with"
"had","874","105","had"
"as","861","22","as"
"on","844","8","on"
"this","789","11","this"
"their","745","57","their"
"are","736","19","are"
"were","698","87","were"
"would","666","85","would"
"have","659","25","have"
"his","653","66","his"
"but","604","42","but"
"from","594","20","from"
"by","577","10","by"
"at","577","21","at"
"us","489","34","us"
"all","486","24","all"
"there","479","62","there"
"or","467","17","or"
"them","447","132","them"
"say","434","495","say, said, says, saying"
"if","426","36","if"
"when","405","67","when"
"will","396","31","will, wills"
"an","365","28","an"
"one","351","44","one, ones"
"has","342","39","has"
"these","329","92","these"
"no","326","47","no"
"who","323","71","who"
"come","311","1260","come, came, comes, coming"
"which","304","56","which"
"you","298","14","you"
"island","290","780","island, islands, islands'"
"mintoff","290","-1","mintoff"
"what","283","55","what"
"more","283","27","more, mores"
"church","281","4947","church, churches"
"out","276","59","out"
"malta","274","6570","malta"
"want","273","253","want, wants, wanted, wanting"
"because","271","235","because"
"him","270","320","him"
"could","270","207","could"
"its","269","94","its"
"then","269","152","then"
"so","265","65","so"
"up","264","53","up"
"government","264","352","government, governments"
"time","262","361","time, times, times'"
"now","255","74","now"
"even","254","269","even"
"know","253","926","know, knew, known, knows, knowing"
"make","253","131","made, make, makes, making"
"into","252","113","into"
"people","250","104","people, peoples, peoples'"
"take","246","921","take, took, takes, taken, taking"
"only","246","64","only"
"see","244","63","see, saw, seen, sees, seeing"
"than","233","98","than"
"do","229","774","do, done"
"other","227","45","other"
"some","220","91","some"
"any","218","61","any"
"work","217","810","work, works, worked, working"
"i","217","13","i"
"year","215","111","year, years"
"maltese","213","-1","maltese"
"about","213","35","about"
"go","209","122","go, went, gone"
"those","208","237","those"
"over","205","109","over"
"can","204","33","can"
"day","197","112","day, days, days'"
"like","197","95","like, liked, likes"
"own","192","293","own, owned, owning"
"country","191","395","country, countries"
"man","178","412","men, man"
"after","178","149","after"
"tell","175","722","told, tell, tells, telling"
"just","172","108","just"
"very","170","173","very"
"first","163","82","first"
"give","163","554","gave, give, gives, given, giving"
"my","162","38","my"
"britain","162","3305","britain"
"party","157","537","party, parties"
"her","154","137","her"
"british","154","1129","british"
