"joe","undefined","2147","joe"
"gattabout","undefined","-1","gattabout"
"word","undefined","880","word, words"
"place","undefined","315","place, places"
"du","undefined","2485","du"
"nouveau","undefined","-1","nouveau"
"marche","undefined","-1","marché"
"aux","undefined","-1","aux"
"grain","undefined","-1","grains"
"bruxelles","undefined","-1","bruxelles"
"belgium","undefined","3235","belgium"
"joegatt","undefined","-1","joegatt"
"net","undefined","673","net"
"anchor","undefined","6899","anchor"
"bay","undefined","1025","bay"
"by","undefined","10","by"
"gatt","undefined","-1","gatt"
"he","undefined","52","he"
"read","undefined","179","read"
"in","undefined","5","in"
"an","undefined","28","an"
"article","undefined","410","article"
"somewhere","undefined","4725","somewhere"
"that","undefined","9","that"
"murderer","undefined","-1","murderers"
"are","undefined","19","are"
"just","undefined","108","just"
"as","undefined","22","as"
"susceptible","undefined","-1","susceptible"
"to","undefined","3","to"
"trauma","undefined","9537","trauma"
"everyone","undefined","1262","everyone"
"else","undefined","832","else"
"especially","undefined","1378","especially"
"if","undefined","36","if"
"they","undefined","50","they"
"not","undefined","16","not"
"habitually","undefined","-1","habitually"
"violent","undefined","5939","violent"
"and","undefined","2","and"
"their","undefined","57","their"
"crime","undefined","2009","crime"
"was","undefined","29","was"
"a","undefined","4","a"
"one","undefined","44","one"
"off","undefined","224","off"
"couldn","undefined","-1","couldn"
"remember","undefined","-1","remember, remembered, remembering"
"whether","undefined","759","whether"
"actually","undefined","1155","actually"
"second","undefined","485","second"
"part","undefined","206","part"
"or","undefined","17","or"
"fill","undefined","3259","filled"
"it","undefined","15","it"
"himself","undefined","2037","himself"
"but","undefined","42","but"
"figure","undefined","2625","figured, figures"
"would","undefined","85","would"
"definitely","undefined","4369","definitely"
"be","undefined","84","be, been"
"the","undefined","0","the"
"case","undefined","928","case, cases"
"make","undefined","912","made, makes"
"sense","undefined","1567","sense"
"you","undefined","14","you"
"were","undefined","87","were"
"contract","undefined","1203","contract"
"killer","undefined","5852","killer"
"say","undefined","495","say, said"
"on","undefined","8","on"
"frontline","undefined","-1","frontline"
"of","undefined","1","of"
"gang","undefined","4227","gang"
"warfare","undefined","-1","warfare"
"then","undefined","152","then"
"much","undefined","278","much"
"less","undefined","534","less"
"affect","undefined","3152","affected"
"each","undefined","167","each"
"your","undefined","23","your"
"fatal","undefined","8191","fatal"
"action","undefined","1889","actions"
"maybe","undefined","1589","maybe"
"at","undefined","21","at"
"first","undefined","82","first"
"take","undefined","1214","take, took, taken, taking"
"some","undefined","91","some"
"time","undefined","361","time, times"
"get","undefined","1683","get, got, gets"
"use","undefined","121","use, used, using"
"kill","undefined","3280","killed, killing"
"all","undefined","24","all"
"day","undefined","203","day, days"
"work","undefined","2124","work, worked"
"even","undefined","269","even"
"such","undefined","143","such"
"remarkable","undefined","7983","remarkable"
"event","undefined","623","event"
"for","undefined","6","for"
"psyche","undefined","-1","psyche"
"since","undefined","339","since"
"probably","undefined","1316","probably"
"already","undefined","731","already"
"immerse","undefined","-1","immersed"
"milieu","undefined","-1","milieu"
"before","undefined","229","before"
"start","undefined","1039","started"
"other","undefined","45","other"
"hand","undefined","643","hand"
"murder","undefined","4552","murder"
"completely","undefined","2338","completely"
"out","undefined","59","out"
"character","undefined","2085","character, characters"
"unpremeditated","undefined","-1","unpremeditated"
"commit","undefined","3480","committed"
"panic","undefined","8549","panic"
"fit","undefined","1930","fit"
"rage","undefined","8657","rage"
"away","undefined","698","away"
"with","undefined","12","with"
"can","undefined","33","can"
"see","undefined","1031","see, seen"
"how","undefined","86","how"
"could","undefined","207","could"
"happen","undefined","3677","happen, happens, happened"
"flush","undefined","9329","flush"
"enormity","undefined","-1","enormity"
"having","undefined","727","having"
"life","undefined","199","life"
"plausibly","undefined","-1","plausibly"
"become","undefined","3377","become, becoming"
"those","undefined","237","those"
"thing","undefined","822","thing, things"
"hide","undefined","2879","hide"
"behind","undefined","1530","behind"
"memory","undefined","4542","memory, memories"
"own","undefined","293","own"
"good","undefined","150","good, best"
"like","undefined","95","like"
"from","undefined","20","from"
"yourself","undefined","1601","yourself"
"precise","undefined","7488","precise"
"circumstance","undefined","3208","circumstances"
"humiliate","undefined","-1","humiliating"
"episode","undefined","7310","episodes"
"among","undefined","965","among"
"clutter","undefined","-1","clutter"
"loose","undefined","5226","loose"
"sheet","undefined","3766","sheet, sheets"
"paper","undefined","576","paper"
"disappear","undefined","-1","disappearing"
"into","undefined","113","into"
"gutter","undefined","-1","gutter"
"thick","undefined","4799","thick"
"file","undefined","280","file"
"had","undefined","105","had"
"call","undefined","744","call, called"
"psychogenic","undefined","-1","psychogenic"
"amnesia","undefined","-1","amnesia"
"its","undefined","94","its"
"prevalence","undefined","-1","prevalence"
"important","undefined","572","important"
"field","undefined","573","field"
"study","undefined","507","study"
"advance","undefined","6656","advances"
"forensic","undefined","-1","forensic"
"science","undefined","439","science"
"particularly","undefined","1939","particularly"
"genetic","undefined","4343","genetic"
"sequence","undefined","-1","sequencing"
"have","undefined","25","have"
"lead","undefined","1742","led"
"reopen","undefined","-1","reopening"
"many","undefined","183","many"
"unsolved","undefined","-1","unsolved"
"there","undefined","62","there"
"has","undefined","39","has"
"more","undefined","27","more"
"than","undefined","98","than"
"instance","undefined","2964","instance"
"which","undefined","56","which"
"material","undefined","811","material"
"evidence","undefined","1305","evidence"
"incriminate","undefined","-1","incriminated"
"someone","undefined","1061","someone"
"who","undefined","71","who"
"forgotten","undefined","4750","forgotten"
"bring","undefined","4356","bringing"
"up","undefined","53","up"
"complex","undefined","1757","complex"
"ethical","undefined","5897","ethical"
"question","undefined","591","question, questions, questioned"
"quite","undefined","1390","quite"
"apart","undefined","4243","apart"
"difficulty","undefined","5310","difficulty"
"ascertain","undefined","-1","ascertaining"
"accuse","undefined","6883","accused"
"really","undefined","471","really"
"punish","undefined","-1","punishing"
"somebody","undefined","5703","somebody"
"no","undefined","47","no"
"recollection","undefined","-1","recollection"
"hardly","undefined","6786","hardly"
"feel","undefined","872","feel, feels"
"justice","undefined","1817","justice"
"being","undefined","276","being"
"serve","undefined","2443","served"
"come","undefined","1260","came, comes, coming"
"him","undefined","320","him"
"few","undefined","574","few"
"minute","undefined","831","minutes"
"dawn","undefined","5333","dawn"
"when","undefined","67","when"
"darkness","undefined","6662","darkness"
"is","undefined","7","is"
"most","undefined","126","most"
"ambiguous","undefined","-1","ambiguous"
"shadow","undefined","4504","shadow"
"fall","undefined","2400","falls"
"upon","undefined","764","upon"
"grey","undefined","3938","grey"
"moment","undefined","2257","moment"
"try","undefined","683","try, tries, trying"
"find","undefined","4288","find, found, finds"
"way","undefined","202","way"
"penumbra","undefined","-1","penumbra"
"new","undefined","26","new"
"liable","undefined","5363","liable"
"catch","undefined","3634","catch"
"glimpse","undefined","-1","glimpses"
"errant","undefined","-1","errant"
"fold","undefined","7877","folds, folding"
"die","undefined","6627","dying"
"night","undefined","593","night"
"stray","undefined","-1","stray"
"reflection","undefined","9622","reflections"
"through","undefined","165","through"
"corner","undefined","2217","corner"
"eye","undefined","1565","eye"
"did","undefined","231","did"
"dream","undefined","2389","dream"
"anything","undefined","1064","anything"
"concrete","undefined","3833","concrete"
"image","undefined","686","images"
"garotte","undefined","-1","garotte"
"improvise","undefined","-1","improvised"
"weapon","undefined","6300","weapon"
"implement","undefined","3593","implement"
"press","undefined","9619","pressed"
"homicidal","undefined","-1","homicidal"
"service","undefined","96","service"
"victim","undefined","5465","victim"
"hold","undefined","3122","held, holding"
"down","undefined","310","down"
"glower","undefined","-1","glowering"
"gurgle","undefined","-1","gurgling"
"struggle","undefined","-1","struggling"
"stay","undefined","1000","stay"
"alive","undefined","4336","alive"
"lose","undefined","1078","lost, losing"
"consciousness","undefined","7685","consciousness"
"run","undefined","671","run, running"
"scene","undefined","4888","scene, scenes"
"avoid","undefined","9862","avoiding"
"detection","undefined","4058","detection"
"scrub","undefined","-1","scrubbing"
"bleach","undefined","-1","bleaching"
"burn","undefined","4428","burning"
"destroy","undefined","-1","destroying"
"look","undefined","445","look, looked, looking"
"over","undefined","109","over"
"his","undefined","66","his"
"shoulder","undefined","5379","shoulder"
"check","undefined","3375","checks, checking"
"news","undefined","58","news"
"consist","undefined","-1","consisted"
"solely","undefined","6132","solely"
"knowledge","undefined","896","knowledge"
"live","undefined","460","live, lived, living"
"extinguish","undefined","-1","extinguished"
"never","undefined","519","never"
"so","undefined","65","so"
"certain","undefined","1099","certain"
"subject","undefined","258","subject"
"person","undefined","531","person"
"singular","undefined","-1","singular"
"conscience","undefined","-1","conscience"
"core","undefined","1616","core"
"wasn","undefined","-1","wasn"
"something","undefined","588","something"
"witness","undefined","-1","witnessed"
"banal","undefined","-1","banal"
"recitation","undefined","-1","recitation"
"recent","undefined","547","recent"
"distant","undefined","9084","distant"
"past","undefined","757","past"
"play","undefined","2299","played"
"series","undefined","474","series"
"whimsical","undefined","-1","whimsical"
"non","undefined","379","non"
"sequiturs","undefined","-1","sequiturs"
"odd","undefined","5450","odd"
"snatch","undefined","-1","snatches"
"dialogue","undefined","5494","dialogue"
"physical","undefined","1268","physical"
"attribute","undefined","4728","attributes"
"acquaintance","undefined","-1","acquaintance"
"behaviour","undefined","4758","behaviour"
"another","undefined","383","another"
"sensory","undefined","-1","sensory"
"content","undefined","394","content"
"whatsoever","undefined","-1","whatsoever"
"nothing","undefined","1098","nothing"
"epistemic","undefined","-1","epistemic"
"certainty","undefined","-1","certainty"
"childhood","undefined","5160","childhood"
"friend","undefined","502","friend"
"richard","undefined","1577","richard"
"grima","undefined","-1","grima"
"metal","undefined","1465","metal"
"bed","undefined","1259","bed"
"newly","undefined","3549","newly"
"rent","undefined","-1","rented"
"flat","undefined","1765","flat"
"body","undefined","569","body"
"lie","undefined","4323","lay"
"prone","undefined","-1","prone"
"uneasy","undefined","-1","uneasy"
"thin","undefined","4348","thin"
"still","undefined","389","still"
"crease","undefined","-1","creases"
"packaging","undefined","3631","packaging"
"them","undefined","132","them"
"grow","undefined","2090","growing"
"light","undefined","612","light"
"pull","undefined","5859","pulled"
"sleep","undefined","2704","sleep"
"recognise","undefined","8648","recognised"
"whole","undefined","940","whole"
"point","undefined","437","point"
"wake","undefined","-1","waking"
"state","undefined","110","state"
"know","undefined","3111","knew, knows"
"this","undefined","11","this"
"about","undefined","35","about"
"woke","undefined","-1","woke"
"convince","undefined","-1","convince, convinced"
"guilt","undefined","-1","guilt"
"terrify","undefined","-1","terrified"
"spend","undefined","-1","spent, spends"
"couple","undefined","1882","couple"
"hour","undefined","374","hour, hours"
"sit","undefined","3892","sat, sitting"
"search","undefined","3148","searching"
"mention","undefined","3934","mention, mentions"
"touch","undefined","2191","touch"
"leave","undefined","1128","left, leave"
"school","undefined","164","school"
"almost","undefined","1213","almost"
"fifteen","undefined","8687","fifteen"
"year","undefined","111","year, years"
"ago","undefined","807","ago"
"last","undefined","125","last"
"four","undefined","599","four"
"hadn","undefined","-1","hadn"
"spoken","undefined","6043","spoken"
"once","undefined","704","once"
"break","undefined","2534","broken"
"friendship","undefined","6594","friendship"
"abruptly","undefined","-1","abruptly"
"overnight","undefined","5038","overnight"
"rather","undefined","1093","rather"
"buffer","undefined","4372","buffer"
"summer","undefined","1200","summer"
"scholastic","undefined","-1","scholastic"
"assume","undefined","6973","assumed, assuming"
"pick","undefined","2095","pick"
"where","undefined","158","where"
"july","undefined","497","july"
"set","undefined","188","set"
"recount","undefined","-1","recount"
"adventure","undefined","4823","adventures"
"bit","undefined","981","bit"
"boastfully","undefined","-1","boastfully"
"usual","undefined","4151","usual"
"after","undefined","149","after"
"ignore","undefined","7485","ignored"
"message","undefined","148","message"
"reality","undefined","2514","reality"
"because","undefined","235","because"
"largely","undefined","5536","largely"
"responsible","undefined","1236","responsible"
"snobbish","undefined","-1","snobbish"
"bully","undefined","-1","bullying"
"sort","undefined","922","sort"
"primary","undefined","1242","primary"
"role","undefined","1092","role"
"itemise","undefined","-1","itemising"
"example","undefined","2177","examples"
"family","undefined","261","family"
